key,value,formula,multiplier
cash_equivalents,Cash and cash equivalents,,1
notes_receivable,Notes receivable,,1
short_term_investment,Short-term investments,,1
current_restricted_fund,Current restricted funds,,1
current_financial_assets,Current financial assets,"current_pnl_assets,current_income_assets,current_investment_assets,other_financial_assets",1
current_pnl_assets,Current financial assets at fair value through profit or loss,,1
current_income_assets,Current financial assets fair value through other comprehensive income,,1
current_investment_assets,Current financial assets amortized cost investments,,1
other_financial_assets,Other current financial assets,,1
current_derivative_financial,Current derivative financial assets,,1
trade_receivables,Trade receivables,"third_party_trade_receivables,related_trade_receivables",1
third_party_trade_receivables,Trade receivables third parties,,1
related_trade_receivables,Trade receivables related parties,,1
current_lease,Current finance lease receivables,,1
retention_receivables,Retention receivables,"third_party_retention,related_retention",1
third_party_retention,Retention receivables third parties,,1
related_retention,Retention receivables related parties,,1
unbilled_receivables,Unbilled receivables,"third_party_unbilled,related_unbilled",1
third_party_unbilled,Unbilled receivables third parties,,1
related_unbilled,Unbilled receivables related parties,,1
receivables_on_subsidy,Receivables on subsidy,,1
current_customer_receivables,Current customer receivables,"third_party_customer_receivables,related_customer_receivables",1
third_party_customer_receivables,Current customer receivables third parties,,1
related_customer_receivables,Current customer receivables related parties,,1
margin_receivables,Margin receivables,,1
guarantee_institution_receivables,Receivables from clearing and settlement guarantee institution,,1
premium_and_insurance_receivables,Premium and reinsurance receivables,,1
dividends_and_interest,Dividends and interest receivables,,1
other_receivables,Other receivables,"third_party_other_receivables,related_other_receivables",1
third_party_other_receivables,Other receivables third parties,,1
related_other_receivables,Other receivables related parties,,1
total_current_inventories,Total Current inventories,"livestock_inventories,real_estate_inventories,current_inventories",1
livestock_inventories,Current livestock inventories,,1
real_estate_inventories,Current real estate assets,,1
current_inventories,Current inventories,,1
biological_assets,Current biological assets,,1
prepaid_expenses,Current prepaid expenses,,1
guarantees,Current guarantees,,1
current_advances,Current advances,"investment_advances,ppe_advances,other_advances",1
investment_advances,Current advances on investments,,1
ppe_advances,"Current advances on purchase of property, plant and equipment",,1
other_advances,Other current advances,,1
prepaid_taxes,Current prepaid taxes,,1
tax_refund,Current claims for tax refund,,1
deferred_stripping_costs,Current deferred stripping costs,,1
deferred_mobilisation_costs,Current deferred mobilisation costs,,1
tax_amesty,Current tax amnesty assets,,1
non_financial_assets,Other current non-financial assets,,1
assets_for_sale,Non-current assets or disposal groups classified as held-for-sale,,1
assets_for_owners,Non-current assets or disposal groups classified as held-for-distribution to owners,,1
total_current_assets,Total current assets,"cash_equivalent,notes_receivable,short_term_investment,current_restricted_fund,current_financial_assets,current_derivative_financial,trade_receivables,retention_receivables,unbilled_receivables,receivables_on_subsidy,current_customer_receivables,margin_receivables,guarantee_institution_receivables,premium_and_insurance_receivables,dividends_and_interest,other_receivables,current_inventories,biological_assets,prepaid_expenses,guarantees,current_advances,prepaid_taxes,tax_refund,deferred_stripping_costs,deferred_mobilisation_costs,tax_amesty,non_financial_assets,assets_for_sale,assets_for_owners",1
financial_lease,Non-current finance lease receivables,,1
non_current_restricted_funds,Non-current restricted funds,,1
aircraft_maintenance,Aircraft maintenance reserve funds,,1
related_receivables,Receivables from related parties,,1
stockholders_receivables,Receivables from stockholders,,1
non_current_customer_receivables,Non-current customer receivables,"non_current_third_party_customer_receivables,non_current_related_party_customer_receivables",1
non_current_third_party_customer_receivables,Non-current customer receivables third parties,,1
non_current_related_party_customer_receivables,Non-current customer receivables related parties,,1
non_current_other_receivables,Other non-current receivables,"non_current_other_third_party_receivables,non_current_other_related_receivables",1
non_current_other_third_party_receivables,Other non-current receivables third parties,,1
non_current_other_related_receivables,Other non-current receivables related parties,,1
accounted_equity,Investments accounted for using equity method,,1
investment_ventures_associates,Investments in joint ventures and associates,"investment_ventures,investment_associates",1
investment_ventures,Investments in joint ventures,,1
investment_associates,Investments in associates,,1
non_current_guarantees,Non-current guarantees,,1
non_current_advances,Non-current advances,"non_current_investment_advances,non_current_ppe_advances,non_current_other_advances",1
non_current_investment_advances,Non-current advances on investments,,1
non_current_ppe_advances,"Non-current advances on purchase of property, plant and equipment",,1
non_current_other_advances,Other non-current advances,,1
non_current_financial_assets,Non-current financial assets,"non_current_pnl_assets,non_current_income_assets,non_current_amortized_assets,non_current_other_assets",1
non_current_pnl_assets,Non-current financial assets at fair value through profit or loss,,1
non_current_income_assets,Non-current financial assets fair value through other comprehensive income,,1
non_current_amortized_assets,Non-current financial assets amortized cost,,1
non_current_other_assets,Other non-current financial assets,,1
non_current_derivative_assets,Non-current derivative financial assets,,1
non_current_prepaid_expenses,Non-current prepaid expenses,,1
non_current_prepaid_taxes,Non-current prepaid taxes,,1
deferred_tax_assets,Deferred tax assets,,1
non_current_inventories,Non-current inventories,"non_current_livestock_inventories,non_current_real_estate_inventories",1
non_current_livestock_inventories,Non-current livestock inventories,,1
non_current_real_estate_inventories,Non-current real estate assets,,1
livestock_production,Livestock production,,1
industrial_platations,Industrial timber plantations,"industrial_mature_platations,industrial_immature_platations",1
industrial_mature_platations,Industrial timber plantations mature,,1
industrial_immature_platations,Industrial timber plantations immature,,1
plantation_assets,Plantation assets,"plantation_mature_assets,plantation_immature_assets",1
plantation_mature_assets,Plantation assets mature,,1
plantation_immature_assets,Plantation assets immature,,1
non_current_biological,Non-current biological assets,,1
plasma_plantations,Plasma plantations,,1
reinsurance_assets,Reinsurance assets,,1
investment_properties,Investment properties,,1
undeveloped_land,Undeveloped land,,1
ppe,"Property, plant, and equipment",,1
right_of_use_assets,Right of use assets,,1
ijarah_assets,Ijarah assets,,1
foreclosed_assets,Foreclosed assets,,1
oil_and_gas_assets,Oil and gas assets,,1
exploration_and_evaluation,Exploration and evaluation assets,,1
toll_road_concessions,Toll road concession rights,,1
mining_properties,Mining properties,,1
non_current_deferred_stripping,Non-current deferred stripping costs,,1
non_current_deferred_mobilisation,Non-current deferred mobilisation costs,,1
deferred_charges,Deferred charges,"deferred_landright_charges,deferred_exploration_exp_charges,deferred_forest_charges,deferred_reclamation_charges,deferred_other_charges",1
deferred_landright_charges,Deferred charges on landrights and buildings,,1
deferred_exploration_exp_charges,Deferred charges on exploration and development expenditures,,1
