key,value,formula,multiplier
interest_finance_income,Interest and finance income,,1
guarantee_income,Income from guarantee,,1
murabahah_income,Income from murabahah and istishna,,1
revenue_sharing_income,Income from revenue sharing,,1
ijarah_income,Income from ijarah,,1
financing_income,Financing income,"consumer_financing_income,lease_income,factoring_income",1
consumer_financing_income,Income from consumer financing,,1
lease_income,Income from finance lease,,1
factoring_income,Income from factoring,,1
opearaing_lease_income,Income from operating lease,,1
premiums_guarantee,Guarantee premiums,,1
insurance_income,Insurance income,"premiums_insurance,reinsurance_income,retrocession_premiums,unearned_premiums,premium_to_reinsurance,commision_insurance_income,ujrah_received",1
premiums_insurance,Income from insurance premiums,,1
reinsurance_income,Reinsurance premiums,,-1
retrocession_premiums,Retrocession premiums,,-1
unearned_premiums,Decrease (increase) in unearned premiums,,1
premium_to_reinsurance,Decrease (increase) in premium income ceded to reinsurancer,,-1
commision_insurance_income,Insurance commission income,,1
ujrah_received,Ujrah received,,1
financial_trade_pnl,Realised gains (losses) on trading of financial assets,,1
unrealised_finance_pnl,Unrealised gains (losses) on trading of financial assets,,1
adm_income,Administration income,,1
provisions_income,Income from provisions and commissions,,1
dividends_income,Dividends income,,1
derivative_realised_gains,Realised gains (losses) from derivative instruments,,1
written_assets_income,Income from recovery of written off assets,,1
gains_in_exchange,Gains (losses) on changes in foreign exchange rates,,1
disposal_ppe,Gains (losses) on disposal of property and equipment,,1
disposal_foreclosed_assets,Gains (losses) on disposal of foreclosed assets,,1
ijarah_assets_pnl,Gains (losses) on disposal of ijarah assets,,1
recovery_impairment_losses,Recovery of impairment losses,,1
pnl_associates_equity,Share of profit (loss) of associates accounted for using equity method,,1
pnl_joint_ventures,Share of profit (loss) of joint ventures accounted for using equity method,,1
other_income,Other income,,1
other_gains,Other gains,,1
total_income,Total Income,"interest_finance_income,guarantee_income,murabahah_income,revenue_sharing_income,ijarah_income,financing_income,opearaing_lease_income,premiums_guarantee,reinsurance_income,financial_trade_pnl,adm_income,provisions_income,dividends_income,derivative_realised_gains,written_assets_income,gains_in_exchange,disposal_ppe,disposal_foreclosed_assets,ijarah_assets_pnl,recovery_impairment_losses,pnl_associates_equity,pnl_joint_ventures,other_income,other_gains",1
revenue_sharing_expenses,Revenue sharing expenses,,-1
insurance_expenses,Insurance expenses,"insurance_expenses,reinsurance_claims,retrocession_claims,claims_liability,policy_liability,adequacy_liability,reinsurers_liability,policyholder_liability,insurance_commision,other_underwriting_expenses,ujrah_paid,acquisition_costs",1
claim_expenses,Claim expenses,,-1
reinsurance_claims,Reinsurance claims,,1
retrocession_claims,Retrocession claims,,1
claims_liability,Increase (decrease) in estimated claims liability,,-1
policy_liability,Increase (decrease) in liability for future policy benefit,,-1
adequacy_liability,Increase (decrease) in provision for losses arising from liability adequacy test,,-1
reinsurers_liability,Increase (decrease) in insurance liabilities ceded to reinsurers,,1
policyholder_liability,Increase (decrease) in liabilities to policyholder in unit-linked contracts,,-1
insurance_commision,Insurance commission expenses,,-1
other_underwriting_expenses,Other underwriting expenses,,-1
ujrah_paid,Ujrah paid,,-1
acquisition_costs,Acquisition costs of insurance contracts,,-1
provision_impairment,Provision for impairment losses,-1
selling_expenses,Selling expenses,,-1
salary_expenses,Salary and employee benefit (expenses),,-1
general_adm_exp,General and administrative expenses,,-1
depreciation_ppe,"Depreciation of investment property, lease assets, property and equipment, foreclosed assets and ijarah assets",,-1
other_expenses,Other expenses,,-1
other_losses,Other losses,,-1
total_expenses,Total Expenses,"revenue_sharing_expenses,insurance_expenses,provision_impairment,selling_expenses,salary_expenses,general_adm_exp,depreciation_ppe,other_expenses,other_losses",1
total_profit_before_tax,Total profit (loss) before tax,"total_income,total_expenses",1
tax_benefit,Tax benefit (expenses),,1
total_profit_operations,Total profit (loss) from continuing operations,"total_profit_before_tax,tax_benefit",1
pnl_discountinued_operations,Profit (loss) from discontinued operations,,1
total_profit,Total profit (loss),"total_profit_operations,pnl_discountinued_operations",1
other_comprehensive_income_to_pnl,"Other comprehensive income that will not be reclassified to profit or loss, after tax",,1
other_comprehensive_income_ppe,"Other comprehensive income for gains (losses) on revaluation of property and equipment, after tax",,1
other_comprehensive_income_obligation,"Other comprehensive income for remeasurement of defined benefit obligation, after tax",,1
