key,value,formula,multiplier
cash_equivalents,Cash and cash equivalents,,1
short_term_investment,Short-term investments,,1
current_restricted_fund,Current restricted funds,,1
current_financial_assets,Current financial assets,"current_pnl_assets,current_investment_assets,current_investment_assets,current_other_assets",1
current_pnl_assets,Current financial assets at fair value through profit or loss,,1
current_income_assets,Current financial assets fair value through other comprehensive income,,1
current_investment_assets,Current financial assets amortized cost investments,,1
current_other_assets,Current other financial assets,,1
current_derivative_financial,Current derivative financial assets,,1
trade_receivables,Trade receivables,"third_party_trade_receivables,related_trade_receivables",1
third_party_trade_receivables,Trade receivables third parties,,1
related_trade_receivables,Trade receivables related parties,,1
current_lease,Current finance lease receivables,,1
receivables_on_subsidy,Receivables on subsidy,,1
other_receivables,Other receivables,"third_party_other_receivables,related_other_receivables",1
third_party_other_receivables,Other receivables third parties,,1
related_other_receivables,Other receivables related parties,,1
total_current_inventories,Total Current inventories,"real_estate_inventories,current_inventories",1
real_estate_inventories,Current real estate assets,,1
current_inventories,Current inventories,,1
prepaid_expenses,Current prepaid expenses,,1
guarantees,Current guarantees,,1
current_advances,Current advances,,1
prepaid_taxes,Current prepaid taxes,,1
tax_refund,Current claims for tax refund,,1
tax_amesty,Current tax amnesty assets,,1
non_financial_assets,Other current non-financial assets,,1
assets_for_sale,Non-current assets or disposal groups classified as held-for-sale,,1
assets_for_owners,Non-current assets or disposal groups classified as held-for-distribution to owners,,1
total_current_assets,Total current assets,"cash_equivalents,short_term_investment,current_restricted_fund,current_financial_assets,current_derivative_financial,trade_receivables,current_lease,receivables_on_subsidy,other_receivables,total_current_inventories,prepaid_expenses,guarantees,current_advances,prepaid_taxes,tax_refund,tax_amesty,non_financial_assets,assets_for_sale,assets_for_owners",1
financial_lease,Non-current finance lease receivables,,1
non_current_restricted_funds,Non-current restricted funds,,1
aircraft_maintenance,Aircraft maintenance reserve funds,,1
related_receivables,Receivables from related parties,,1
stockholders_receivables,Receivables from stockholders,,1
non_current_other_receivables,Other non-current receivables,"non_current_other_third_party_receivables,non_current_other_related_receivables",1
non_current_other_third_party_receivables,Other non-current receivables third parties,,1
non_current_other_related_receivables,Other non-current receivables related parties,,1
accounted_equity,Investments accounted for using equity method,,1
investment_ventures_associates,Investments in joint ventures and associates,"investment_ventures,investment_associates",1
investment_ventures,Investments in joint ventures,,1
investment_associates,Investments in associates,,1
non_current_guarantees,Non-current guarantees,,1
non_current_advances,Non-current advances,,1
non_current_financial_assets,Non-current financial assets,"non_current_pnl_assets,non_current_income_assets,non_current_amortized_assets,non_current_other_financial_assets",1
non_current_pnl_assets,Non-current financial assets at fair value through profit or loss,,1
non_current_income_assets,Non-current financial assets fair value through other comprehensive income,,1
non_current_amortized_assets,Non-current financial assets amortized cost,,1
non_current_other_financial_assets,Non-current other financial assets,,1
non_current_derivative_assets,Non-current derivative financial assets,,1
non_current_prepaid_expenses,Non-current prepaid expenses,,1
non_current_prepaid_taxes,Non-current prepaid taxes,,1
deferred_tax_assets,Deferred tax assets,,1
total_non_current_inventories,Total Non-current inventories,"non_current_real_estate_inventories,non_current_inventories",1
non_current_real_estate_inventories,Non-current real estate assets,,1
non_current_inventories,Non-current inventories,,1
investment_properties,Investment properties,,1
ppe,"Property, plant, and equipment",,1
right_of_use_assets,Right of use assets,,1
toll_road_concessions,Toll road concession rights,,1
deferred_charges,Deferred charges,"deferred_landright_charges,deferred_other_charges",1
deferred_landright_charges,Deferred charges on landrights and buildings,,1
deferred_other_charges,Other deferred charges,,1
non_current_tax_refund,Non-current claims for tax refund,,1
post_employment_benefits,Post-employment benefit assets,,1
goodwill,Goodwill,,1
intangible_assets_oth_goodwill,Intangible assets other than goodwill,,1
